LOGL LOGTEFF T_c Ro_c Hc Hec Con_s Con_c LogedadMyr Mass Mdot modelo LogLpp LogLcno LogLHe LogLCC intdSdt LogLnu Log_MHtot Log_HeBuf Masa_HFC Masa_HeFC log_g RR_sun LHergs SepFaseergs Teff Age
3.217914 5.631175 2.500891 8.212204 0.0 0.0 0.0 0.0 2.292122274672257 1.22573 -33.0 897019 -99.0 -99.0 -99.0 -99.0 90454.43 4.9483881 -5.7316529 -5.5456945 1.2257283 1.2254598 8.7882213 0.0073951 0.0 -0.0 427735.2083554712 1.2394068761523158e-05
3.088591 5.569067 2.381987 7.962083 0.0 0.0 0.0 0.0 2.292122274722875 1.15919 -33.0 897040 -99.0 -99.0 -99.0 -99.0 20506.18 4.2849622 -5.7506558 -3.9994116 1.1591813 1.1585626 8.6448689 0.008482 0.0 -0.0 370737.9122955286 1.2416906059797839e-05
3.21142 5.629752 2.500275 8.212382 0.0 0.0 0.0 0.0 2.292122278578915 1.22573 -33.0 897020 -99.0 -99.0 -99.0 -99.0 90055.31 4.9465526 -5.7316529 -5.5456945 1.2257283 1.2254599 8.7890253 0.0073882 0.0 -0.0 426335.99390061374 1.4156626576777853e-05
3.380902 5.709197 2.628045 8.525018 0.0 0.0 0.0 0.0 2.292122278629668 1.2919 -33.0 897019 -99.0 -99.0 -99.0 -99.0 503986.9 5.7003364 -5.7343466 -5.0118092 1.2919012 1.2917514 8.960157 0.0062286 0.0 -0.0 511913.9918109176 1.4179524782775843e-05
2.942709 5.511465 2.284306 7.764591 0.0 0.0 0.0 0.0 2.292122278837867 1.0984 -33.0 897043 -99.0 -99.0 -99.0 -99.0 6375.024 3.7398906 -5.7927543 -5.049711 1.0983968 1.0974086 8.5369508 0.0093489 0.0 -0.0 324687.0744267702 1.4273457338731532e-05
3.07685 5.566413 2.381801 7.962133 0.0 0.0 0.0 0.0 2.292122279553098 1.15919 -33.0 897041 -99.0 -99.0 -99.0 -99.0 20444.41 4.2843108 -5.7506558 -3.9993688 1.1591813 1.1585626 8.6459936 0.008471 0.0 -0.0 368479.21889462176 1.459614642840279e-05
3.204524 5.628163 2.499543 8.212594 0.0 0.0 0.0 0.0 2.292122283266905 1.22573 -33.0 897021 -99.0 -99.0 -99.0 -99.0 89584.43 4.9443609 -5.7316394 -5.5485771 1.2257283 1.2254598 8.789562 0.0073837 0.0 -0.0 424778.9626538484 1.6271696097192034e-05
3.375611 5.708208 2.624941 8.526236 0.0 0.0 0.0 0.0 2.292122283402949 1.2919 -33.0 897020 -99.0 -99.0 -99.0 -99.0 494149.7 5.6917597 -5.7343466 -5.0118092 1.2919012 1.2917515 8.9614927 0.0062191 0.0 -0.0 510749.55862510117 1.633307479664836e-05
2.932344 5.509116 2.284232 7.764612 0.0 0.0 0.0 0.0 2.292122285262183 1.0984 -33.0 897044 -99.0 -99.0 -99.0 -99.0 6350.305 3.739579 -5.7927531 -5.0497178 1.0983968 1.0974086 8.5379233 0.0093384 0.0 -0.0 322935.65672497987 1.7171901106394216e-05
3.064712 5.563674 2.381579 7.962194 0.0 0.0 0.0 0.0 2.292122285349367 1.15919 -33.0 897042 -99.0 -99.0 -99.0 -99.0 20376.66 4.2835277 -5.7506557 -3.9993705 1.1591812 1.1585626 8.6471751 0.0084595 0.0 -0.0 366162.6141541048 1.721123553011239e-05
3.197541 5.626571 2.498723 8.212832 0.0 0.0 0.0 0.0 2.292122288570286 1.22573 -33.0 897022 -99.0 -99.0 -99.0 -99.0 89060.62 4.9418947 -5.7316306 -5.5496788 1.2257282 1.2254598 8.7901783 0.0073784 0.0 -0.0 423224.6943331127 1.8664410106339346e-05
3.369812 5.706985 2.621378 8.527664 0.0 0.0 0.0 0.0 2.292122289130885 1.2919 -33.0 897021 -99.0 -99.0 -99.0 -99.0 482872.8 5.6817132 -5.734344 -5.0118411 1.291901 1.2917515 8.962399 0.0062126 0.0 -0.0 509313.2796959232 1.8917334301704614e-05
3.052214 5.560859 2.381313 7.962266 0.0 0.0 0.0 0.0 2.292122292304889 1.15919 -33.0 897043 -99.0 -99.0 -99.0 -99.0 20302.08 4.2825892 -5.7506557 -3.9993725 1.1591812 1.1585626 8.6484167 0.0084474 0.0 -0.0 363796.90501217445 2.0349342406689175e-05
2.92095 5.506538 2.284143 7.764637 0.0 0.0 0.0 0.0 2.292122292971361 1.0984 -33.0 897045 -99.0 -99.0 -99.0 -99.0 6323.3 3.7392051 -5.7927517 -5.0497259 1.0983968 1.0974086 8.5390041 0.0093268 0.0 -0.0 321024.3682573769 2.0650032922731043e-05
3.190044 5.624882 2.497751 8.213116 0.0 0.0 0.0 0.0 2.292122294934342 1.22573 -33.0 897023 -99.0 -99.0 -99.0 -99.0 88443.16 4.938954 -5.7316269 -5.5503939 1.2257282 1.2254561 8.7909208 0.0073721 0.0 -0.0 421581.9419270138 2.153566646256877e-05
3.363456 5.705714 2.617319 8.529337 0.0 0.0 0.0 0.0 2.292122296004409 1.2919 -33.0 897022 -99.0 -99.0 -99.0 -99.0 470048.4 5.6699967 -5.7343412 -5.0119789 1.2919009 1.2917515 8.9636695 0.0062035 0.0 -0.0 507824.9097419721 2.201844617388815e-05
3.041076 5.558357 2.381042 7.962339 0.0 0.0 0.0 0.0 2.292122299421488 1.15919 -33.0 897044 -99.0 -99.0 -99.0 -99.0 20231.12 4.2816306 -5.7506556 -3.9993746 1.1591812 1.1585626 8.6495442 0.0084365 0.0 -0.0 361707.0719548022 2.3560121832133518e-05
2.908535 5.503733 2.284037 7.764667 0.0 0.0 0.0 0.0 2.292122302222375 1.0984 -33.0 897046 -99.0 -99.0 -99.0 -99.0 6294.023 3.7387564 -5.7927522 -5.0497356 1.0983968 1.0974086 8.5401984 0.009314 0.0 -0.0 318957.63318656664 2.4823791562766928e-05
3.181951 5.623081 2.496601 8.213453 0.0 0.0 0.0 0.0 2.29212230257121 1.22573 -33.0 897024 -99.0 -99.0 -99.0 -99.0 87716.56 4.9354516 -5.7316257 -5.5511162 1.2257281 1.2254561 8.7918075 0.0073646 0.0 -0.0 419837.28028539196 2.4981174533422745e-05
3.357185 5.704517 2.613181 8.531088 0.0 0.0 0.0 0.0 2.292122303393111 1.2919 -33.0 897023 -99.0 -99.0 -99.0 -99.0 457022.0 5.6577615 -5.7343391 -5.0122173 1.2919009 1.2917515 8.9651523 0.0061929 0.0 -0.0 506427.17269406497 2.535198981945541e-05
3.032214 5.556368 2.380802 7.962405 0.0 0.0 0.0 0.0 2.292122305733714 1.15919 -33.0 897045 -99.0 -99.0 -99.0 -99.0 20171.46 4.2807817 -5.7506556 -3.9993764 1.1591812 1.1585626 8.6504524 0.0084276 0.0 -0.0 360054.2984149391 2.6407994198507367e-05
3.351072 5.703389 2.609044 8.532879 0.0 0.0 0.0 0.0 2.29212231118579 1.2919 -33.0 897024 -99.0 -99.0 -99.0 -99.0 444044.9 5.6452187 -5.7343374 -5.0124457 1.2919008 1.2917515 8.9667552 0.0061815 0.0 -0.0 505113.52801689174 2.8867794810594205e-05
3.024571 5.554655 2.380576 7.962466 0.0 0.0 0.0 0.0 2.292122311715289 1.15919 -33.0 897046 -99.0 -99.0 -99.0 -99.0 20117.29 4.2799785 -5.7506556 -3.9993781 1.1591812 1.1585626 8.6512438 0.00842 0.0 -0.0 358636.92320316756 2.910668771960445e-05
3.173227 5.621163 2.495245 8.213854 0.0 0.0 0.0 0.0 2.292122311735451 1.22573 -33.0 897025 -99.0 -99.0 -99.0 -99.0 86863.6 4.9312868 -5.7316244 -5.5518538 1.2257281 1.2254561 8.7928605 0.0073557 0.0 -0.0 417987.21674508107 2.9115784002442524e-05
